amenity,x_meters,y_meters,latitude,longitude,kmeans_cluster,dbscan_cluster
school,-9342199.557726111,4298530.737342255,35.9848048,-83.9224065,3,0
place_of_worship,-9342972.649325773,4299142.179359069,35.9892492,-83.9293513,1,-1
place_of_worship,-9336695.2207885,4299524.478816887,35.9920279,-83.8729602,1,-1
place_of_worship,-9342137.708617028,4298683.594617494,35.9859159,-83.9218509,1,0
school,-9343498.51146833,4306290.932920463,36.0411929,-83.9340752,1,1
place_of_worship,-9346714.364578113,4298072.082134447,35.9814708,-83.9629637,4,-1
place_of_worship,-9337252.007485602,4306596.992319295,36.043416,-83.8779619,1,-1
place_of_worship,-9357474.862780562,4289687.457653655,35.9204975,-84.0596269,0,-1
place_of_worship,-9341271.876749586,4299295.086519768,35.9903606,-83.914073,1,-1
place_of_worship,-9342508.803271536,4298760.03094106,35.9864715,-83.9251845,1,0
place_of_worship,-9340292.532397382,4297928.5328139225,35.9804273,-83.9052754,3,-1
place_of_worship,-9336849.843561213,4300288.856705701,35.9975834,-83.8743492,1,-1
place_of_worship,-9339014.439927738,4297308.025396737,35.9759165,-83.8937941,3,-1
place_of_worship,-9346776.280478891,4301970.45743185,36.0098039,-83.9635199,4,8
place_of_worship,-9338921.610604366,4293793.297593813,35.9503612,-83.8929602,3,-1
place_of_worship,-9341519.117338639,4291157.925609275,35.9311942,-83.916294,3,-1
place_of_worship,-9346497.981751908,4302429.194865565,36.0131373,-83.9610199,4,-1
school,-9346312.423292704,4301970.45743185,36.0098039,-83.959353,4,-1
place_of_worship,-9339416.45913679,4298530.806128233,35.9848053,-83.8974055,1,-1
place_of_worship,-9343374.690798722,4300670.921362068,36.0003601,-83.9329629,1,-1
place_of_worship,-9338086.758951213,4298530.833642625,35.9848055,-83.8854606,1,-1
place_of_worship,-9345910.35955586,4298454.233847768,35.9842487,-83.9557412,4,-1
school,-9345786.661337689,4298377.799677454,35.9836931,-83.95463,4,-1
place_of_worship,-9336169.592416873,4302849.925368665,36.0161944,-83.8682384,1,-1
place_of_worship,-9346590.59956825,4294251.497083313,35.9536932,-83.9618519,3,-1
place_of_worship,-9337128.153420145,4300288.856705701,35.9975834,-83.8768493,1,-1
place_of_worship,-9335860.280079754,4298951.261682148,35.9878615,-83.8654598,1,-1
place_of_worship,-9339880.28292713,4296811.292866359,35.9723053,-83.9015721,3,-1
place_of_worship,-9342013.87681547,4290355.9874839075,35.9253608,-83.9207385,3,-1
place_of_worship,-9343622.031575317,4298416.071723538,35.9839713,-83.9351848,3,-1
school,-9349713.96844508,4300517.898497322,35.999248,-83.9899096,4,-1
place_of_worship,-9340641.39654958,4298472.379475892,35.9843806,-83.9084093,1,-1
place_of_worship,-9338488.767028315,4298912.973991367,35.9875832,-83.8890719,1,-1
place_of_worship,-9340211.603127576,4298145.749053655,35.9820063,-83.9045484,3,-1
school,-9354259.677587725,4298836.206408806,35.9870252,-84.0307444,4,-1
place_of_worship,-9352867.93904993,4287721.256224305,35.9061924,-84.0182422,0,-1
place_of_worship,-9345037.091546433,4299949.21063563,35.9951149,-83.9478965,4,-1
place_of_worship,-9342570.66351257,4300403.390756787,35.9984158,-83.9257402,1,-1
school,-9340158.826556992,4307706.015478765,36.051471,-83.9040743,1,-1
place_of_worship,-9341395.552703857,4298263.273242771,35.9828606,-83.915184,3,-1
place_of_worship,-9342106.917645874,4304646.708519797,36.0292488,-83.9215743,1,1
school,-9342014.143982247,4304646.72228475,36.0292489,-83.9207409,1,1
place_of_worship,-9336571.611625925,4303423.376042041,36.020361,-83.8718498,1,-1
place_of_worship,-9339787.52039545,4297537.279415529,35.9775831,-83.9007388,3,-1
place_of_worship,-9344009.846417341,4303752.216185031,36.0227502,-83.9386686,1,-1
place_of_worship,-9345384.653260589,4297957.476386148,35.9806377,-83.9510187,3,-1
place_of_worship,-9346126.831437655,4298645.307870847,35.9856376,-83.9576858,4,-1
place_of_worship,-9338488.856083907,4303002.788449862,36.0173051,-83.8890727,1,-1
place_of_worship,-9340282.41345567,4303499.749418705,36.0209159,-83.9051845,1,-1
place_of_worship,-9345755.71451925,4296925.79023025,35.9731377,-83.954352,3,-1
place_of_worship,-9348419.779177066,4301621.09841436,36.0072652,-83.9782837,4,8
place_of_worship,-9341735.733935773,4300250.523017712,35.9973048,-83.9182399,1,-1
school,-9355187.280640606,4291539.517930685,35.9339698,-84.0390772,0,-1
place_of_worship,-9347491.73084622,4296946.051602615,35.973285,-83.9699469,4,-1
place_of_worship,-9345256.780561512,4297559.7979070805,35.9777468,-83.94987,3,-1
school,-9346126.78690986,4296123.4262613505,35.9673043,-83.9576854,3,-1
place_of_worship,-9347318.272815667,4295405.868685285,35.9620871,-83.9683887,3,-1
place_of_worship,-9343343.721716383,4298110.380616051,35.9817492,-83.9326847,3,-1
place_of_worship,-9339818.344762452,4292036.325675558,35.9375833,-83.9010157,3,2
place_of_worship,-9339818.3336305,4291196.144729345,35.9314722,-83.9010156,3,2
school,-9346930.947779402,4304302.493806507,36.0267481,-83.9649093,4,-1
school,-9338272.395334061,4303308.631181467,36.0195273,-83.8871282,1,-1
school,-9335860.146496367,4290852.548668395,35.9289729,-83.8654586,3,-1
school,-9341148.211927265,4300709.201495359,36.0006383,-83.9129621,1,-1
school,-9336726.145343043,4300135.990580031,35.9964724,-83.873238,1,-1
school,-9343374.657402875,4299065.726586508,35.9886935,-83.9329626,1,-1
school,-9348971.69008047,4293984.055849566,35.9517484,-83.9832416,0,5
school,-9339632.76403935,4289439.620077216,35.9186945,-83.8993486,3,-1
place_of_worship,-9346016.602877872,4293657.684152302,35.949375,-83.9566956,3,-1
